Rank,Name,Active,Visits,Favourites,Likes,Dislikes,Rating
#22,[UPD] Blade Ball,"34,558","4,482,377,254","9,966,828","6,487,048","444,810",93.58
#23,Catalog Avatar Creator,"33,714","2,850,460,040","3,421,954","1,390,908","123,278",91.86
#24,Bee Swarm Simulator,"31,885","2,983,678,381","5,954,749","2,317,866","123,885",94.93
#25,🎃 Creatures of Sonaria 🐲 Survive Kaiju Animals,"31,040","988,137,128","3,626,207","702,610","72,945",90.59
#26,Heroes Battlegrounds,"30,567","609,308,166","832,980","516,804","97,962",84.07
#27,Welcome to Bloxburg,"30,204","8,998,091,859","13,559,019","5,308,107","714,569",88.14
#28,[HOSPITAL🚑] Baddies 💅,"29,185","417,741,111","5,540,968","98,029","36,796",72.71
#29,BedWars [🧟 Infected],"28,950","9,730,460,482","4,207,094","2,182,722","462,232",82.52
#30,[🎃] NFL Universe Football,"27,617","305,376,899","514,940","221,633","23,740",90.32
#31, Piggy [DECAY CHAPTER],"27,466","13,110,395,425","11,669,525","3,615,821","406,011",89.9
#32,[🗡️JUJUTSU KAISEN🌃] A Universal Time 3.8🚩,"27,434","783,659,514","1,303,904","789,071","134,184",85.47
#33,☠️NIGHT 2☠️  Tower Defense Simulator,"27,430","3,615,183,727","3,087,216","1,591,403","104,152",93.86
#34,[👻UPDATE] Slap Battles👏,"25,718","2,390,168,629","2,325,962","1,443,268","244,238",85.53
#35, Sol's RNG [Era 9],"24,826","760,264,927","633,329","742,478","100,411",88.09
#36,🎃 Hide or Die!,"24,358","34,061,192","1,326,949","17,487","4,724",78.73
#37,Build A Boat For Treasure,"23,803","4,091,953,952","7,634,669","3,053,389","227,152",93.08
#38,Metro Life 🎃 City RP,"23,752","1,006,988,782","23,923,941","175,306","25,683",87.22
#39,[SILENT ESPER] Ultimate Battlegrounds,"23,645","187,507,242","344,560","203,136","42,386",82.74
#40,Banana Eats 🎃,"21,007","685,236,793","1,779,805","424,237","55,377",88.45
#41,Deepwoken,"20,535","1,043,314,511","783,111","332,021","44,658",88.14
#42,[🎃UPDATE] Grand Piece Online,"19,607","1,000,386,904","1,418,706","977,760","107,491",90.1
#43,Gacha Online 🍭 RP [TRICK OR TREAT 🎃],"19,154","2,497,830,378","2,436,761","571,753","185,356",75.52
#44,[MYTHICAL WOLF] Fruit Battlegrounds,"18,091","634,882,202","781,461","812,254","102,715",88.77
#45,Shindo Life [238],"17,772","2,484,974,513","2,937,002","2,049,373","138,752",93.66
#46,[🎃] Driving Empire 🏎️ Car Racing,"17,704","1,596,333,259","13,499,716","1,599,017","113,056",93.4
#47,Block Tales [Demo 3],"17,206","28,457,911","350,351","187,661","7,592",96.11
#48,🎃 ABA 🎃,"17,189","961,147,232","930,537","449,898","100,593",81.73
#49,[🛡️Clans +🌀Godly🧬] Anime Last Stand,"16,646","499,176,505","278,830","334,667","25,061",93.03
#50,The Haunt,"16,430","27,980,878","67,134","45,719","19,454",70.15
#51,3008 [2.73],"16,218","2,356,878,957","4,831,147","1,648,983","152,249",91.55
#52,Jailbreak 🍁,"16,044","7,121,330,094","18,267,940","5,531,874","770,054",87.78
#53,PLS DONATE 💸,"15,998","2,811,854,798","3,059,973","2,267,487","171,454",92.97
#54,💡LUMENIGH Dragon Adventures 🐉 Fantasy Pets ✨,"15,573","1,015,399,157","6,323,469","735,333","62,383",92.18
#55,[UPDATE 4] Meme Sea,"15,300","404,771,445","290,897","293,171","21,549",93.15
#56,[UPGRADE] BARRY'S PRISON RUN! (OBBY),"14,819","2,783,481,197","1,192,431","277,775","198,934",58.27
#57,Fling Things and People,"14,661","1,159,210,024","1,636,987","519,403","152,529",77.3
#58,Flee the Facility,"14,506","4,613,743,557","8,921,302","2,332,856","201,301",92.06
#59,a dusty trip [🎃HAUNT],"14,484","1,096,413,173","1,216,316","1,493,669","137,060",91.6
#60,[💥SHADOW] Sonic Speed Simulator,"14,339","1,043,201,234","2,070,882","1,416,767","110,986",92.74
#61,🎃 WEEK 2! Car Dealership Tycoon,"14,327","2,050,639,057","3,091,222","1,356,810","101,249",93.06
#62,Murderers VS Sheriffs Duels,"14,123","1,065,259,854","674,633","301,416","56,571",84.2
#63,🔪Survive the Killer!,"13,643","2,183,953,849","3,818,530","874,213","97,986",89.92
#64,[Raider X] War Tycoon,"13,474","564,005,488","2,398,208","750,522","71,135",91.34
#65,Gym League 🎃,"13,035","373,745,348","3,777,885","966,695","25,163",97.46
#66,Death Ball,"12,956","806,803,525","1,059,804","2,119,686","76,476",96.52
#67, [HALLOWEEN 🎃] The Mimic,"12,843","982,471,025","2,901,837","979,569","107,362",90.12
#68,🎃THE RAVEYARD🎃Pressure,"12,519","190,234,538","1,052,097","438,097","24,766",94.65
#69,🎃 Arm Wrestle Simulator,"12,203","1,034,041,412","896,464","1,152,803","58,366",95.18
#70,Royale🎃High [Falling Leaves Festival!],"11,643","10,008,035,521","13,220,816","3,167,351","488,308",86.64
#71,Rainbow Friends,"11,501","3,757,565,867","3,190,871","1,310,399","277,667",82.52
#72,Livetopia🎃 Halloween Spooky Adventures,"11,306","4,712,153,408","27,971,083","1,256,077","136,840",90.18
#73,Football Fusion 2,"11,091","1,292,619,838","821,657","567,464","114,179",83.25
#74,"(HALLOWEEN EVENT, MAP CHANGES, + CARS!) Greenville","11,083","1,029,991,423","2,307,222","807,739","126,079",86.5
#75,Bayside High School 🍎,"11,028","428,323,040","470,854","149,421","21,447",87.45
#76,Like or Pass,"11,027","28,088,718","41,358","24,287","8,126",74.93
#77,[Halloween PT1] Pillar Chase 2,"10,977","72,708,999","352,393","127,129","16,840",88.3
#78,Color or Die 🎨,"10,697","683,657,966","1,134,166","1,193,151","120,540",90.82
#79,[RANKED] Anime Card Battle,"10,598","71,879,252","66,839","73,629","5,956",92.52
#80,[UPDATE!] Speed Draw!,"10,585","1,217,569,017","1,487,355","374,912","55,701",87.06
#81,Tower of Hell,"10,517","23,977,099,438","11,167,470","3,861,874","1,350,060",74.1
#82,Emergency Hamburg,"10,347","438,794,946","518,641","206,824","38,922",84.16
#83,Super League Soccer,"10,237","589,351,361","452,242","215,485","45,887",82.44
#84,Natural Disaster Survival,"9,737","3,156,480,783","10,613,951","3,731,751","381,657",90.72
#85,🌲Emergency Response: Liberty County,"9,582","1,022,743,109","2,486,821","959,547","93,029",91.16
#86,[🎃]🍕Work at a Pizza Place,"9,451","4,925,539,227","12,499,720","3,075,963","244,246",92.64
#87,Swim League [New World 7🎃],"9,294","28,278,554","732,203","56,632","2,694",95.46
#88,Escape Running Head,"9,172","2,151,768,605","1,620,648","250,102","77,303",76.39
#89,Pull a Sword,"9,038","212,296,809","381,483","967,004","25,215",97.46
#90,Elemental Powers Tycoon,"8,897","659,542,517","1,851,950","219,441","26,477",89.23
#91,Gunfight Arena | WW2,"8,363","515,817,802","1,113,672","438,540","57,953",88.33
#92,PLUSH🧸 Horse Life 🐎,"8,156","107,654,702","1,278,698","290,459","8,700",97.09
#93,[🧛] MM2 Aim Trainer,"8,120","513,138,473","12,659,734","195,197","28,187",87.38
#94,Obby but you're a Spider [700M],"8,035","15,729,350","40,591","25,686","8,621",74.87
#95,🎃 [UPD 14 HALLOWEEN] Anime Strike Simulator,"7,879","8,605,990","33,530","117,625","2,374",98.02
#96,[SUPER] untitled boxing game🥊,"7,866","667,405,334","788,718","736,297","118,594",86.13
#97,Realistic Street Soccer (3 on 3),"7,800","352,435,260","213,816","117,041","26,777",81.38
#98,[🎃STORY] Dragon Soul | Anime Adventure 🐲,"7,678","112,709,715","476,804","309,489","14,965",95.39
#99,Eat the World [NEW MAPS],"7,650","254,118,901","14,821,809","600,373","34,655",94.54
#100,Legends Battlegrounds,"7,628","55,788,243","134,860","79,807","19,277",80.54
#101,[🎂] item asylum ,"7,546","423,679,231","1,023,504","420,688","63,020",86.97
#102, Sonic.EXE: The disaster 1.2,"7,446","40,646,073","69,118","33,850","4,351",88.61
#103,[2X] 🎃Basketball Legends🎃,"7,408","349,763,156","355,388","238,806","51,529",82.25
#104,[🎃] Dungeon Quest! ⚔️ RPG Adventure,"7,342","2,150,159,395","4,202,863","1,069,156","96,616",91.71
#105,Spider,"7,278","2,444,883,605","2,570,379","528,517","200,540",72.49
#106,Combat Warriors 🩸,"7,221","1,167,958,416","2,218,694","1,255,365","232,747",84.36
#107,Together [Party Game] 🪸 DEEP OCEAN! 🦑,"7,190","223,440,795","744,691","86,381","16,055",84.33
#108,💪Muscle Legends,"7,121","1,840,670,996","2,350,637","900,012","131,242",87.27
#109,TYPE://SOUL [HALLOWEEN UPDATE],"7,009","506,018,314","359,535","255,645","61,973",80.49
#110,Build with Friends [🎃 HALLOWEEN],"6,915","27,359,902","1,284,646","96,024","2,808",97.16
#111,[🎃CHAPTER I] Tower Defense X: BETA,"6,812","218,103,058","267,484","278,470","12,557",95.69
#112,[🌘DARK] Be NPC or DIE!💢,"6,792","80,902,156","305,853","250,077","19,180",92.88
#113,Da Hood 🎃,"6,779","2,659,750,248","2,966,793","1,235,617","513,242",70.65
#114,spookfest 🎃 Restaurant Tycoon 2,"6,741","1,380,969,730","3,922,950","1,200,112","92,379",92.85
#115,The Floor Is LAVA! 🔥,"6,695","2,588,160,566","3,316,529","707,454","231,003",75.38
#116,[HALLOWEEN] Sorcerer Battlegrounds,"6,672","368,342,324","588,651","342,862","86,643",79.83
#117,Warrior Cats: Ultimate Edition,"6,627","540,590,404","1,212,106","390,743","29,514",92.98
#118,MIC UP 🔊,"6,603","475,122,391","640,278","306,043","58,947",83.85
#119,Secret Staycation,"6,551","387,176,400","507,541","148,206","24,723",85.7
#120,Arsenal,"6,473","5,601,255,572","11,172,088","4,904,838","622,547",88.74
#121,Southwest Florida Beta,"6,394","621,582,028","1,644,439","630,771","70,758",89.91
#122,Theme Park Tycoon 2,"6,299","1,336,714,920","5,783,445","1,906,384","244,855",88.62
#123,Regretevator [ ELEVATOR SIMULATOR ],"6,258","111,875,165","606,060","226,285","22,197",91.07
#124,[PAGANI] Vehicle Legends 🏎️ CARS!,"6,211","1,539,051,510","2,262,778","1,023,770","70,590",93.55
#125,Gym Star Simulator[NEW TRAINER💪],"6,188","48,128,043","99,671","50,339","3,220",93.99
#126,[🎃] Twilight Daycare!,"6,159","2,321,070,461","1,967,230","750,913","92,459",89.04
#127,👁️untitled tag game👁️ [DOORS!] ,"6,092","174,769,187","453,031","325,376","31,200",91.25
#128,💜 MeepCity 💜,"6,043","16,094,272,517","14,787,935","2,857,706","483,318",85.53
#129,Hide and Seek Extreme,"5,992","2,904,881,095","6,444,745","881,381","86,547",91.06
#130,[W49] Obby But You’re On a Bike,"5,940","1,407,316,033","5,708,158","773,710","236,023",76.63
#121,Southwest Florida Beta,"6,394","621,582,028","1,644,439","630,771","70,758",89.91
#122,Theme Park Tycoon 2,"6,299","1,336,714,920","5,783,445","1,906,384","244,855",88.62
#123,Regretevator [ ELEVATOR SIMULATOR ],"6,258","111,875,165","606,060","226,285","22,197",91.07
#124,[PAGANI] Vehicle Legends 🏎️ CARS!,"6,211","1,539,051,510","2,262,778","1,023,770","70,590",93.55
#125,Gym Star Simulator[NEW TRAINER💪],"6,188","48,128,043","99,671","50,339","3,220",93.99
#126,[🎃] Twilight Daycare!,"6,159","2,321,070,461","1,967,230","750,913","92,459",89.04
#127,👁️untitled tag game👁️ [DOORS!] ,"6,092","174,769,187","453,031","325,376","31,200",91.25
#128,💜 MeepCity 💜,"6,043","16,094,272,517","14,787,935","2,857,706","483,318",85.53
#129,Hide and Seek Extreme,"5,992","2,904,881,095","6,444,745","881,381","86,547",91.06
#130,[W49] Obby But You’re On a Bike,"5,940","1,407,316,033","5,708,158","773,710","236,023",76.63
#141,BACK! /  MMV,"5,222","790,643","54,804",805,39,95.38
#142,Spray Paint!,"5,176","1,129,107,924","1,907,456","457,366","93,922",82.96
#143,🎃 Funky Friday,"5,143","1,838,952,150","4,039,487","1,884,060","199,295",90.43
#144,Redcliff City 🏡RP,"5,127","832,591,606","801,454","176,534","25,883",87.21
#145,Break In 2 (Story),"5,092","616,535,772","616,938","251,598","39,521",86.42
#146,Chained [2 Player Obby],"5,086","70,304,997","1,721,496","50,394","4,173",92.35
#147,(🔪UPDATE🔪) Tha Bronx 2 💯,"5,086","75,260,456","154,300","57,807","18,224",76.03
#148,[NEW!] Pilfering Pirates [⛵],"5,070","874,291,276","1,221,660","238,433","45,416",84
#149,[NEW] Mega Luxury Bus Tycoon🚍,"5,063","2,356,278","10,768","1,670",532,75.84
#150,🌳 Lumber Tycoon 2,"5,019","1,177,131,987","4,459,036","1,940,432","272,239",87.7
#151,[🔥 UPD] Skibidi Tower Defense,"4,981","539,329,341","1,806,070","411,630","29,940",93.22
#152,Boxing Beta! 🥊,"4,969","620,499,198","907,896","255,293","56,974",81.75
#153,Kitten Game 🐾,"4,944","264,384,426","372,460","121,734","11,044",91.68
#154,[NEW STYLES] fight in a school,"4,870","110,436,953","231,805","109,552","30,062",78.47
#155,[🎃] Skateboard Obby,"4,846","186,832,621","769,085","119,813","22,501",84.19
#156,PETS GO MODDED! 🎃 [PUMPKIN],"4,821","893,554","57,879","3,928",190,95.39
#157,🎃 Maple Hospital,"4,809","1,163,745,473","1,023,930","308,776","56,953",84.43
#158,Guts & Blackpowder [HEADLESS HORSEMAN],"4,802","159,574,556","581,692","229,226","14,047",94.23
#159,[UPDATE 1] Skillful ,"4,785","3,190,407","12,020","12,274",872,93.37
#160,NewSmith🏠RP Halloween!,"4,759","38,888,100","422,968","30,327","2,426",92.59
#151,[🔥 UPD] Skibidi Tower Defense,"4,981","539,329,341","1,806,070","411,630","29,940",93.22
#152,Boxing Beta! 🥊,"4,969","620,499,198","907,896","255,293","56,974",81.75
#153,Kitten Game 🐾,"4,944","264,384,426","372,460","121,734","11,044",91.68
#154,[NEW STYLES] fight in a school,"4,870","110,436,953","231,805","109,552","30,062",78.47
#155,[🎃] Skateboard Obby,"4,846","186,832,621","769,085","119,813","22,501",84.19
#156,PETS GO MODDED! 🎃 [PUMPKIN],"4,821","893,554","57,879","3,928",190,95.39
#157,🎃 Maple Hospital,"4,809","1,163,745,473","1,023,930","308,776","56,953",84.43
#158,Guts & Blackpowder [HEADLESS HORSEMAN],"4,802","159,574,556","581,692","229,226","14,047",94.23
#159,[UPDATE 1] Skillful ,"4,785","3,190,407","12,020","12,274",872,93.37
#160,NewSmith🏠RP Halloween!,"4,759","38,888,100","422,968","30,327","2,426",92.59
#171,[🤑SALE] Pet World ✨,"4,531","6,707,657","14,369","15,480",867,94.7
#172,Paradise 🏠 RP,"4,526","295,313,712","8,441,683","116,981","12,496",90.35
#173,[AKAT☁️] Ninja Tycoon (v4.5),"4,515","521,452,191","1,204,216","379,090","45,680",89.25
#174,[GHOST SHINOBI + DIO MOVES] Realm Rampage,"4,506","160,616,900","484,858","280,642","54,760",83.67
#175,[🎃]  Elemental Dungeons,"4,485","183,772,103","328,856","205,892","11,141",94.87
#176,[🧟ZOMBIES] Military Tycoon ®,"4,475","758,025,166","1,731,481","1,164,736","100,538",92.05
#177,[RNG] 🎃 Bid Battles!,"4,470","129,836,695","324,687","131,473","12,956",91.03
#178,My Toilet,"4,431","1,071,356","92,362","3,658",491,88.17
#179,🎃 BAKE DA BABY,"4,381","136,244,693","3,477,763","177,902","18,927",90.38
#180,🎃Shrek in The Backrooms ,"4,363","437,509,058","1,122,853","387,913","53,230",87.93
#181,Underground War 2.0 ⚔️ [NUKE],"4,349","520,333,514","380,374","218,266","36,755",85.59
#182,🐸Animal Simulator,"4,343","1,283,765,999","1,698,000","344,789","70,224",83.08
#183, [ 🎃 HALLOWEEN ] TOD,"4,294","147,888,118","226,007","71,674","6,744",91.4
#184,🎃[HAYRIDE]🎃American Plains Mudding,"4,251","149,098,016","234,540","85,592","15,189",84.93
#185,Peroxide,"4,236","292,112,277","581,173","357,308","35,514",90.96
#186,Collect All Pets!,"4,216","157,797,182","277,644","108,854","8,460",92.79
#187,[UPDATE 1.58] Your Bizarre Adventure ,"4,170","1,972,283,212","1,862,822","1,335,989","161,809",89.2
#188,Broken Bones IV - Ragdoll Sim,"4,161","1,229,170,357","4,161,887","1,309,796","174,621",88.24
#189,[STAGE TWO!] 💪 Ninja Challenge [Beta],"4,149","13,714,138","19,544","18,120","2,396",88.32
#190,Giga Mansion Tycoon 🏝️,"4,087","109,107,902","188,274","107,510","4,355",96.11
#191,[🎃Halloween] Tongue Battles,"4,066","128,020,808","214,311","379,620","27,915",93.15
#192,Draw & Switch,"4,064","71,856,936","229,110","18,313","4,222",81.26
#193,Scary Hide & Seek,"4,059","10,537,731","248,454","9,235","1,601",85.23
#194,[🎃Event] ⚔️Dungeon RNG,"4,041","32,580,647","643,969","312,933","6,830",97.86
#195,Seaside RP🏡🌴 New Luxury house!! ,"4,032","209,022,517","7,510,767","36,177","3,864",90.35
#196,Phantom Forces,"3,969","1,627,217,909","5,861,967","2,419,374","212,510",91.93
#197,SkyWars 🔥,"3,960","212,975,735","188,595","98,679","34,053",74.34
#198,🎃SPOOKY!🎃 Club Roblox RP👶🏡,"3,950","2,594,988,700","3,275,515","872,297","86,482",90.98
#199,[REVOLVER] LOCKED,"3,939","79,158,173","93,092","53,337","13,195",80.17
#200,Cheese Escape [Horror],"3,871","989,964,121","1,545,527","357,335","52,710",87.15
#201,😈 Mystery Killer,"3,824","616,510","55,712",198,39,83.54
#202,[🎃FREE UGC🧻]Skibidi Toilet Battle,"3,820","62,047,005","764,380","70,509","3,200",95.66
#203,Infectious Smile,"3,814","970,221,686","1,937,619","527,171","142,850",78.68
#204,Bloxy Bingo,"3,808","300,470,759","973,745","245,943","47,605",83.78
#205,[🍀2X LUCK] Pixel Tower Defense,"3,780","20,080,755","175,337","70,331","2,452",96.63
#206,Highland Park 🏡RP [FREE VIP],"3,767","51,911,066","3,720,408","45,271","3,504",92.82
#207,Pilot Training Flight Simulator,"3,705","456,536,455","1,466,115","602,480","48,172",92.6
#208,☄️Don't Press The Button 4,"3,702","1,013,997,448","1,141,147","525,897","87,797",85.69
#209,Clip It 😂🎬👗,"3,668","99,198,792","179,547","51,377","15,864",76.41
#210,[HALLOWEEN! 🎃] IT GIRL 🎀,"3,658","36,580,836","188,581","49,254","16,594",74.8
#211,Zombie Uprising,"3,645","1,039,840,259","3,200,111","918,989","47,285",95.11
#212,[🎃UPD] Race Clicker,"3,629","795,297,037","1,193,823","1,302,085","55,715",95.9
#213,[🏎️UPD!] Mansion Tycoon 🌴🏠,"3,620","374,385,635","796,951","514,305","15,087",97.15
#214,DON'T GET ELIMINATED,"3,563","117,846,936","231,060","99,282","26,239",79.1
#215,Volleyball 4.2,"3,552","250,071,551","439,762","152,632","16,051",90.48
#216,LOCOfficial!,"3,552","203,389,464","829,409","210,858","29,034",87.9
#217,🦠Survive and Kill the Killers in Area 51 !!!,"3,501","1,653,578,086","3,732,565","886,092","108,834",89.06
#218,[🪐PLANETS] Untitled Fling Game,"3,492","42,668,320","63,328","20,070","5,702",77.88
#219,Ninjitsu: Master of Elements,"3,457","1,741,334","46,165","10,062",675,93.71
#220,Color Block,"3,414","2,300,889,899","2,404,679","974,967","173,530",84.89
#221,⚡Ninja Legends,"3,375","2,010,181,077","4,566,152","1,501,917","124,981",92.32
#222,[16 Prizes! 🎃] Car Crushers 2 - Physics Sim,"3,369","1,118,426,573","4,373,876","1,508,354","121,909",92.52
#223,Zombies vs Humans,"3,362","11,353,292","65,168","33,035","5,573",85.57
#224,[🎃15X!! ] 💪🏻 Legacy Lifting Simulator,"3,294","6,747,668","9,971","10,348","1,099",90.4
#225,Survive 100 Days on Desert Island,"3,263","5,599,797","8,550","1,230",625,66.31
#226,[💀]Survival Odyssey,"3,229","12,204,513","50,435","20,426","4,042",83.48
#227,🦇EVENT Drive World 🏎️ Drifting & Racing ,"3,220","256,304,832","3,809,477","395,351","21,037",94.95
#228,Really Easy Obby! 🌈,"3,210","222,433,168","79,498","10,069","5,278",65.61
#229,[🎃]🎲Character RNG,"3,196","44,389,092","75,155","77,594","6,527",92.24
#230,[Halloween] Forgotten Worlds,"3,190","434,910,981","1,039,337","273,451","29,565",90.24
#231,Arcane Odyssey [Halloween],"3,167","108,787,442","782,912","329,324","26,526",92.55
#232,Total Roblox Drama,"3,159","539,407,036","868,670","234,487","54,407",81.17
#233,[🎃Halloween Event! ] Dealership Tycoon 🏎️,"3,158","62,676,316","149,290","90,261","4,011",95.75
#234,🎃EVENT World // Zero ⚔️ Anime RPG,"3,148","360,551,505","1,950,498","810,060","43,949",94.85
#235,Escape The Carnival of Terror Obby! ,"3,129","855,130,474","633,957","95,296","78,284",54.9
#236,Build to Survive!,"3,112","648,020,580","620,798","157,189","39,140",80.06
#237,Secret Killer,"3,104","64,357,439","178,357","103,695","8,902",92.09
#238,Snake Simulator,"3,094","19,326,542","1,127,377","28,681","13,323",68.28
#239,[2X] War Machines,"3,081","193,539,902","389,518","123,108","11,412",91.52
#240,🎃[10X] Strongman Simulator,"3,062","1,428,932,064","2,014,254","676,884","53,718",92.65
#241,Sword Clashers Simulator ⚔️,"3,060","967,012","7,994","13,348",308,97.74
#242,The Curse [UPDATE],"3,025","6,986,892","79,002","16,707","4,530",78.67
#243,(🎃Halloween🎃) Loomian Legacy ,"3,014","857,435,745","2,722,990","890,809","75,725",92.17
#244,🔥 BIG Paintball 2!,"3,006","159,454,786","328,720","241,967","51,067",82.57
#245,[🎃 HALLOWEEN 👻] Doodle World,"3,003","103,141,694","439,584","193,479","15,700",92.49
#246,[🎃Halloween] Weapon Fighting Simulator,"2,999","499,354,687","842,648","530,569","36,610",93.55
#247,Car Suspension Test,"2,999","218,367,183","2,890,209","53,222","8,395",86.38
#248,Garden Defense!🧟‍♂️,"2,991","9,742,940","214,696","6,187","1,877",76.72
#249,Project Smash,"2,982","156,205,093","320,978","154,619","46,696",76.8
#250,🎃Booga Booga [REBORN],"2,975","160,266,834","346,837","121,564","25,589",82.61
#251,🔥 [2x Power Event] Anime Revolution X,"2,972","1,002,655","2,408","5,669",158,97.29
#252,Legends Of Speed ⚡,"2,972","1,762,993,828","3,625,772","1,018,160","96,797",91.32
#253,Bloxcity RP,"2,972","42,946,933","10,204","1,354","1,778",43.23
#254,[YUTA] Jujutsu Beatdown,"2,962","21,704,137","111,844","125,760","12,478",90.97
#255,😈 TRAITOR!,"2,960","369,074","34,724",212,49,81.23
#256,Yeet A Friend!,"2,921","346,554,392","818,568","634,145","33,904",94.92
#257,don't let her in 🏠[GAMEMODES],"2,891","7,706,046","65,057","14,820","1,464",91.01
#258,[👻THE HAUNT]Keys 🗝️ Season 20,"2,890","274,268,735","9,232,616","78,170","8,764",89.92
#259,[UPD] Snowboard Obby ❄ World 8,"2,872","196,703,055","5,297,882","45,470","23,166",66.25
#260,Find The Markers (237),"2,867","800,250,145","1,246,705","376,692","83,578",81.84
#261,[🎃] Ultimate Home Tycoon 🏠 ,"2,862","110,232,763","456,171","331,188","7,319",97.84
#262,Rise of Nations,"2,849","231,258,157","528,406","230,772","32,257",87.74
#263,[🎃UPDATE] ✈️Cabin Crew Simulator,"2,840","218,207,297","754,296","269,261","21,534",92.59
#264,Drive it! [2 Player Obby] 🎃,"2,839","19,295,704","105,174","103,234","3,406",96.81
#265,ESCAPE THE PLAYGROUND OBBY!,"2,788","9,372,125","20,528","2,806","2,211",55.93
#266,🎃UPDATE🎃 SharkBite 2 🦈,"2,785","335,467,558","566,117","316,552","41,118",88.5
#267,[AFC AJAX EVENT] Real Futbol 24,"2,779","132,045,182","175,702","94,360","16,413",85.18
#268,Crazy Cards 🤣 [UPDATE🔥],"2,769","52,486,622","266,983","46,154","10,646",81.26
#269,Youtuber Tycoon! [ELEVATOR] ,"2,761","574,463,223","637,677","225,144","35,832",86.27
#270,CRAZY CHEFS! 👨‍🍳,"2,759","40,675,299","39,855","7,355","4,680",61.11
#271,🌳Super Treehouse Tycoon 2,"2,758","5,196,614","27,136","4,156",706,85.48
#272,Math Tower Race,"2,752","50,295,680","42,198","22,910","2,668",89.57
#273,Super Hero Tycoon,"2,738","2,311,978,930","10,039,590","711,724","161,595",81.5
#274,TPS: Street Soccer 🏆,"2,723","666,122,797","560,159","230,450","81,156",73.96
#275,Insane Elevator!,"2,721","1,137,163,514","1,282,476","204,314","33,950",85.75
#276,Death Penalty 🎃,"2,714","84,793,038","388,764","86,184","13,962",86.06
#277,SCP: Roleplay,"2,708","338,062,936","1,064,093","439,444","56,995",88.52
#278,🎃 [STANDS + MASTERY QUEST] Anime Simulator,"2,692","17,155,418","79,553","75,513","2,994",96.19
#279,Team Daycare Escape! (TEAMWORK OBBY),"2,676","327,677,919","184,465","20,778","9,169",69.38
#280,[SEASON 4 🎡] 🏀 RH2 The Journey - BETA,"2,662","49,377,301","161,692","77,787","11,706",86.92
#281,Obby Creator,"2,634","431,960,993","905,857","249,710","64,211",79.55
#282,Granny: Multiplayer,"2,630","562,369,135","550,137","81,162","18,628",81.33
#283,[🎃Boss] Bathroom Attack,"2,629","373,180,712","1,832,852","240,999","16,472",93.6
#284,Epic Minigames [🎃QUEST],"2,619","2,125,657,852","6,885,848","1,912,708","219,236",89.72
#285,FORTLINE,"2,594","53,844,752","3,828,544","9,055","2,709",76.97
#286,"Red Light, Green Light (FIX)","2,563","976,553,347","1,595,603","376,001","99,582",79.06
#287,Daycare 💥 [PADDED CELLS :D],"2,562","25,169,657","77,808","26,568","10,347",71.97
#288,🔨Plane Crazy🔨 [UPDATE],"2,560","360,989,183","1,075,995","341,279","80,541",80.91
#289,[🎃] Criminality,"2,556","203,847,730","658,566","289,946","90,632",76.19
#290,🎃[🔥UPD9]Cultivation Simulator,"2,552","6,915,334","25,413","39,984","2,167",94.86
